post_id,title,category,score,num_comments,author,collected_at
47582220,Axios compromised on NPM – Malicious versions drop remote access trojan,Others,1928,800,mtud,2026-04-04 07:50:17
47613981,LinkedIn is searching your browser extensions,Others,1861,755,digitalWestie,2026-04-04 07:50:16
47616361,Google releases Gemma 4 open models,Others,1733,459,jeffmcjunkin,2026-04-04 07:50:11
47616242,Decisions that eroded trust in Azure – by a former Azure Core engineer,Others,1192,598,axelriet,2026-04-04 07:50:12
47603657,Artemis II Launch Day Updates,Startups,1092,949,apitman,2026-04-04 07:50:14
47609564,Steam on Linux Use Skyrocketed Above 5% in March,Others,770,361,hkmaxpro,2026-04-04 07:50:16
47625952,Show HN: I built a frontpage for personal blogs,Others,704,179,ramkarthikk,2026-04-04 07:50:11
47631118,Artemis II crew take “spectacular” image of Earth,Others,700,252,andsoitis,2026-04-04 07:50:08
47624645,Show HN: Apfel – The free AI already on your Mac,AI,668,140,franze,2026-04-04 07:50:11
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,Programming,586,495,firloop,2026-04-04 07:50:08
47615002,Qwen3.6-Plus: Towards real world agents,Others,576,201,pretext,2026-04-04 07:50:15
47618189,Tailscale's new macOS home,AI,554,300,tosh,2026-04-04 07:50:15
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,Others,550,112,AbuAssar,2026-04-04 07:50:14
47618084,Cursor 3,Others,526,398,adamfeldman,2026-04-04 07:50:15
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,Others,480,354,mooreds,2026-04-04 07:50:14
47628326,F-15E jet shot down over Iran,Others,460,1037,tjwds,2026-04-04 07:50:10
47629433,iNaturalist,Others,399,106,bookofjoe,2026-04-04 07:50:09
47615449,Artemis II will use laser beams to live-stream 4K moon footage at 260 Mbps,Others,367,150,speckx,2026-04-04 07:50:17
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,Others,359,107,detaro,2026-04-04 07:50:10
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),AI,352,190,sedev,2026-04-04 07:50:15
47628608,OpenClaw privilege escalation vulnerability,Others,344,182,kykeonaut,2026-04-04 07:50:09
47624736,NHS staff refusing to use FDP over Palantir ethical concerns,Others,325,149,chrisjj,2026-04-04 07:50:13
47609356,Artemis II's toilet is a moon mission milestone,Others,322,167,1659447091,2026-04-04 07:50:15
47611921,Significant raise of reports,AI,309,155,stratos123,2026-04-04 07:50:17
47624731,April 2026 TLDR Setup for Ollama and Gemma 4 26B on a Mac mini,Others,302,118,greenstevester,2026-04-04 07:50:13
47615756,Renewables reached nearly 50% of global electricity capacity last year,Others,291,145,Growtika,2026-04-04 07:50:18
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,AI,282,114,denssumesh,2026-04-04 07:50:09
47627061,Solar and batteries can power the world,Others,269,417,edent,2026-04-04 07:50:17
47634690,Delve removed from Y Combinator,Others,248,150,carabiner,2026-04-04 07:50:09
47624811,SSH certificates: the better SSH experience,Others,236,103,jandeboevrie,2026-04-04 07:50:11
47617376,OpenAI Acquires TBPN,AI,235,190,surprisetalk,2026-04-04 07:50:14
47621792,Post Mortem: axios NPM supply chain compromise,AI,235,105,Kyro38,2026-04-04 07:50:09
47625244,Critics say EU risks ceding control of its tech laws under U.S. pressure,Tech,223,132,nickslaughter02,2026-04-04 07:50:14
47614100,'Backrooms' and the Rise of the Institutional Gothic,Others,216,103,anarbadalov,2026-04-04 07:50:15
47611481,Bringing Clojure programming to Enterprise (2021),Others,200,122,smartmic,2026-04-04 07:50:15
47598413,C89cc.sh – standalone C89/ELF64 compiler in pure portable shell,Others,194,60,gaigalas,2026-04-04 07:50:16
47632503,"Iran strikes leave Amazon availability zones ""hard down"" in Bahrain and Dubai",AI,186,82,upofadown,2026-04-04 07:50:11
47582987,Gone (Almost) Phishin',Others,183,87,luu,2026-04-04 07:50:16
47618176,George Goble has died,Others,169,39,finaard,2026-04-04 07:50:14
47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,Others,162,63,MaximilianEmel,2026-04-04 07:50:12
47586885,What changes when you turn a Linux box into a router,Others,156,41,0o_MrPatrick_o0,2026-04-04 07:50:09
47629116,Go on Embedded Systems and WebAssembly,Others,150,18,uticus,2026-04-04 07:50:09
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,Others,148,45,jackson-mcd,2026-04-04 07:50:16
47635056,Gold overtakes U.S. Treasuries as the largest foreign reserve asset,Others,147,85,lxm,2026-04-04 07:50:09
47621438,Show HN: Made a little Artemis II tracker,Others,145,54,codingmoh,2026-04-04 07:50:15
47627527,Build your own Dial-up ISP with a Raspberry Pi,Others,141,29,arjunbajaj,2026-04-04 07:50:10
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,Others,128,10,01-_-,2026-04-04 07:50:17
47630893,Age verification on Systemd and Flatpak,Others,111,94,londonanon,2026-04-04 07:50:11
47629903,Why are we still using Markdown?,Others,104,174,veqq,2026-04-04 07:50:10
47633157,Fake Fans,Others,101,20,performative,2026-04-04 07:50:10
47630576,"How to make a sliding, self-locking, and predator-proof chicken coop door (2020)",Others,101,43,uticus,2026-04-04 07:50:10
47585469,Herbie: Automatically improve imprecise floating point formulas,Others,96,12,summarity,2026-04-04 07:50:09
47632750,Show HN: TinyOS – A minimalist RTOS for Cortex-M written in C,Others,96,38,hpscript,2026-04-04 07:50:11
47624804,Category Theory Illustrated – Types,Others,95,16,boris_m,2026-04-04 07:50:12
47579818,What we learned building 100 API integrations with OpenCode,Programming,94,21,rguldener,2026-04-04 07:50:12
47633131,"Run Linux containers on Android, no root required",AI,93,31,politelemon,2026-04-04 07:50:09
47626462,Big-Endian Testing with QEMU,Others,88,96,jandeboevrie,2026-04-04 07:50:10
47622616,The Technocracy Movement of the 1930s,Tech,87,77,lazydogbrownfox,2026-04-04 07:50:09
